Date,Open,High,Low,Close,Adj Close,Volume,Daily Confirmed,Daily Recovered,Daily Deceased,Avg.
23-Apr,31646.44922,31959.01953,31292.91992,31863.08008,31863.08008,24400,1537,703,53,31754.76465
24-Apr,31426.61914,31842.24023,31278.26953,31327.2207,31327.2207,17600,1292,394,36,31376.91992
27-Apr,31659.03906,32103.69922,31651.58008,31743.08008,31743.08008,12900,1835,442,44,31701.05957
28-Apr,32101.91016,32199.91016,31661.33984,32114.51953,32114.51953,15600,1607,585,56,32108.21484
29-Apr,32311.03906,32897.58984,32171.65039,32720.16016,32720.16016,16000,1568,580,58,32515.59961
30-Apr,33381.19141,33887.25,33354.92969,33717.62109,33717.62109,21100,1902,636,69,33549.40625
04-May,32748.14063,32748.14063,31632.01953,31715.34961,31715.34961,18300,2564,831,92,32231.74512
05-May,32182.90039,32264,31403.57031,31453.50977,31453.50977,19200,2952,911,140,31818.20508
06-May,31577.63086,31970.83984,31158.75,31685.75,31685.75,19200,3656,1082,103,31631.69043
07-May,31677.68945,31705.25,31362.86914,31443.38086,31443.38086,19900,2971,1295,128,31560.53516
08-May,32083.32031,32088.50977,31598,31642.69922,31642.69922,15900,3602,1161,91,31863.00977
11-May,32030.33984,32301.58008,31500.86914,31561.2207,31561.2207,18100,3175,1414,115,31795.78027
12-May,31342.92969,31536.89063,30844.66016,31371.11914,31371.11914,23100,4311,1669,112,31357.02441
13-May,32841.87109,32845.48047,31901.91992,32008.60938,32008.60938,18400,3592,1579,81,32425.24023
14-May,31466.33008,31630.93945,31052.65039,31122.89063,31122.89063,15200,3562,1905,120,31294.61035
15-May,31296.2793,31296.2793,30770.48047,31097.73047,31097.73047,13000,3726,1963,137,31197.00488
18-May,31248.25977,31248.25977,29968.44922,30028.98047,30028.98047,19500,4794,4012,120,30638.62012
19-May,30450.74023,30739.96094,30116.82031,30196.16992,30196.16992,18700,5049,2538,152,30323.45508
20-May,30159.58984,30878.31055,30157.75,30818.60938,30818.60938,16100,4628,2482,131,30489.09961
21-May,30904.28906,31188.78906,30765.32031,30932.90039,30932.90039,15500,6154,3032,146,30918.59473
22-May,30822.7793,31107.91016,30474.88086,30672.58984,30672.58984,20600,5720,3113,134,30747.68457
26-May,30864.26953,31086.69922,30512.14063,30609.30078,30609.30078,188300,7111,3285,156,30736.78516
27-May,30793.10938,31660.59961,30525.67969,31605.2207,31605.2207,20500,6414,3012,150,31199.16504
28-May,31827.80078,32267.23047,31641.76953,32200.58984,32200.58984,0,5907,3585,173,32014.19531
